gene,betweenness,degree,closeness,constraint,coreness,eccentricity,eigen_centrality,hub score
7082,54922.98384,80,5.94E-09,0.017466783,28,8,0.034616426,0.014627215
7083,128264.4586,163,6.12E-09,0.007207994,29,9,0.04088037,0.013828061
7084,3.636373561,9,5.53E-09,0.147706185,9,10,7.33E-05,2.63E-05
7088,80800.54981,116,6.10E-09,0.011838142,29,9,0.02928635,0.006241116
7124,44895.91055,51,6.12E-09,0.022335575,24,9,0.014453745,0.003438552
7128,27383.74997,41,6.11E-09,0.028021178,23,9,0.015189624,0.015179286
7132,124302.2025,164,6.11E-09,0.008025659,37,9,0.07490957,0.027479206
7150,41474.29575,194,6.11E-09,0.011017383,101,9,0.462814097,0.081318286
7153,52654.48012,102,6.10E-09,0.015059368,36,9,0.109603474,0.015437521
7157,733681.864,450,6.09E-09,0.003575682,39,8,0.137483631,0.029797303
7158,19568.62199,60,5.98E-09,0.022210819,28,9,0.012353845,0.004867456
7159,52441.65202,65,6.02E-09,0.01647316,27,8,0.026359884,0.012153129
7168,11145.45975,26,5.93E-09,0.044550605,17,9,0.0069868,0.000369206
7175,2772.395719,17,6.07E-09,0.064202559,14,9,0.00584148,0.002297202
7181,447.3034455,12,6.10E-09,0.089937695,11,10,0.001739657,0.000867461
7185,246233.4433,219,6.11E-09,0.006123083,34,9,0.056093661,0.015925678
7187,15822.77868,55,6.07E-09,0.027764875,24,9,0.009210322,0.006139164
7188,6154.885722,39,6.07E-09,0.039635229,21,9,0.005586558,0.006187941
7226,0,3,5.52E-09,0.416888796,3,10,3.22E-05,0
7248,28770.48284,56,6.03E-09,0.020546368,28,9,0.016179418,0.014405276
7249,21497.1117,50,6.03E-09,0.023668787,29,9,0.016059862,0.011542288
7251,60208.01931,93,6.04E-09,0.012547535,26,8,0.020135161,0.009412343
7263,0,2,5.52E-09,0.5,2,10,5.48E-05,0
7291,10.76813444,13,5.54E-09,0.096268423,12,9,0.002487803,0.000175254
7298,9725.952025,29,5.53E-09,0.068307684,13,9,0.002171471,8.85E-05
7311,120173.9202,237,5.96E-09,0.0074603,80,9,0.352297318,0.032506843
7316,359302.8807,334,6.03E-09,0.004315959,37,9,0.098040145,0.025247917
7319,13536.8938,25,5.77E-09,0.048880265,15,9,0.004235925,0.000986529
7321,58523.26406,110,5.95E-09,0.009461027,26,9,0.025112065,0.002369925
7323,59774.35223,104,5.92E-09,0.010022111,26,9,0.027460247,0.008989231
7332,10729.77175,39,5.90E-09,0.026470337,21,9,0.011213054,0.001646926
7334,39085.57112,68,5.89E-09,0.016404784,20,9,0.007863494,0.003700008
7335,9703.506816,33,5.87E-09,0.03187063,20,9,0.005612237,0.003858779
7343,7911.080726,37,5.73E-09,0.033837441,26,9,0.015900278,0.000966556
7345,14057.22476,24,5.85E-09,0.043653206,21,8,0.014638861,0.003547977
7357,0,2,5.52E-09,0.570764463,2,10,2.94E-05,0
7374,0.015668821,5,5.52E-09,0.204645919,5,8,0.003359664,0.000703008
7376,34477.75172,40,5.92E-09,0.02844849,24,9,0.007455505,0.004216599
7398,7471.417375,23,5.57E-09,0.048668985,12,9,0.001504315,0.000100994
7416,31030.31322,117,5.90E-09,0.015927125,68,9,0.178903412,0.025160024
7421,47907.25911,84,5.75E-09,0.016127,31,9,0.015719883,0.004128144
7428,212375.0308,251,5.85E-09,0.004825303,39,9,0.106600857,0.015132676
7444,454.2827328,7,5.53E-09,0.148588864,7,9,0.00246887,0.001056544
7465,2157.643484,26,5.87E-09,0.039924877,22,9,0.011629531,0.008437239
7474,3455.744417,4,5.52E-09,0.288350694,3,10,1.22E-05,1.56E-06
7486,5320.960671,30,5.63E-09,0.042322309,22,9,0.015914436,0.00474031
7494,14182.18853,22,5.57E-09,0.050906161,15,9,0.008372709,0.003999215
7508,235.6420572,21,5.53E-09,0.054447639,17,10,0.004954651,0.000356763
7518,11549.14038,26,5.71E-09,0.051008112,17,9,0.004599002,0.000580234
7520,31740.98236,71,5.63E-09,0.020451031,29,9,0.024383742,0.001287542
7525,21470.70658,65,5.65E-09,0.020099922,27,9,0.015177955,0.005593633
7528,20030.51885,52,5.59E-09,0.024489583,28,9,0.011729222,0.002109457
7625,0,2,5.52E-09,0.5,2,10,0.000677555,0
7702,0,4,5.52E-09,0.25,3,10,0.002722362,0
7703,1303.332842,19,5.58E-09,0.066425029,14,9,0.001271958,0.000163381
7750,24644.409,48,5.68E-09,0.031191346,28,9,0.011835349,0.000658747
7780,3396.267391,8,5.52E-09,0.125,6,9,7.56E-05,1.74E-06
7832,340.357478,14,5.52E-09,0.075411202,10,9,0.001294546,3.00E-05
7840,0,1,5.55E-09,1,1,11,7.19E-05,8.07E-05
7852,7428.635802,37,5.58E-09,0.033252323,23,8,0.009316614,0.002044752
7867,0,12,5.52E-09,0.086011159,12,9,0.006518782,0
7915,1355.127355,35,5.52E-09,0.0412639,19,10,0.001647033,7.23E-05
7965,32328.49497,54,5.68E-09,0.02354346,24,9,0.024717836,0.006019236
7988,0,24,5.52E-09,0.05672005,13,9,0.003879156,5.51E-05
8061,1267.262821,29,5.56E-09,0.046205072,18,9,0.002408567,0.00013405
8140,0,3,5.52E-09,0.440412203,3,9,8.65E-05,0
8148,982.0137955,45,5.52E-09,0.031090657,29,9,0.055195648,0.001330759
8202,13403.30173,85,5.65E-09,0.016911717,31,9,0.025173104,0.003714007
8239,6698.429028,29,5.64E-09,0.03920437,23,9,0.019385237,0.005629115
8243,9270.105774,53,5.64E-09,0.028881699,24,9,0.005708061,0.001513824
8325,0,5,5.52E-09,0.260956009,5,9,3.74E-05,0
8396,0,10,5.52E-09,0.128201238,10,10,0.004115355,5.36E-05
8428,6843.89914,47,5.52E-09,0.037315992,24,9,0.016216677,0.000475005
8438,0,2,5.52E-09,0.5,2,10,0.000116018,0
8445,0,19,5.52E-09,0.055269332,16,9,0.00344745,0
8453,7608.273591,120,5.60E-09,0.015361057,71,9,0.223482679,0.030443136
8463,517.1320999,6,5.56E-09,0.169992147,4,9,0.000313944,0.000268775
8493,120.7571593,33,5.52E-09,0.044823234,30,9,0.072524348,0.006314319
8505,0,1,5.52E-09,1,1,9,0.000199634,0
8517,148903.8668,346,5.58E-09,0.004354866,62,9,0.208940481,0.02129509
8518,415.0950368,33,5.55E-09,0.036065242,20,9,0.00774548,0.002806456
8525,5464.450574,35,5.52E-09,0.038713136,22,9,0.006223331,1.86E-05
8535,10939.95118,50,5.54E-09,0.033595004,28,9,0.005431995,0.000545245
8536,1149.824471,23,5.52E-09,0.068265924,15,9,0.005198918,0.000240501
8548,578.8009139,42,5.52E-09,0.025570621,21,9,0.002753101,3.09E-05
8550,0,24,5.52E-09,0.046223674,20,9,0.010007839,0
8554,12771.37278,132,5.54E-09,0.013331344,71,9,0.233352391,0.031785341
8565,20.51973067,9,5.52E-09,0.111958858,9,8,0.004466805,0.002244371
8574,0,8,5.52E-09,0.193226279,7,8,0.000867851,1.20E-05
8604,0,7,5.52E-09,0.147148978,7,10,0.00177062,0
8644,0,6,5.52E-09,0.166666667,6,10,0.003004753,0
8650,5816.917647,23,5.53E-09,0.050055628,18,8,0.003676605,0.000196129
8678,8567.947178,35,5.54E-09,0.034412024,17,9,0.002201058,0.000194227
8717,17759.9906,72,5.57E-09,0.017618628,33,9,0.051372485,0.001105362
8737,14476.93141,65,5.57E-09,0.02153778,30,9,0.030972064,0.011648528
8738,99.64607452,17,5.52E-09,0.062131465,13,9,0.006812458,6.12E-05
8743,6789.871045,14,5.57E-09,0.094368243,10,9,0.002026004,0.000521681
8767,9034.498475,70,5.55E-09,0.017919721,32,9,0.037669816,0.000975179
8771,552.7907354,5,5.52E-09,0.200770563,4,10,0.00022267,1.08E-08
8772,11912.63677,55,5.56E-09,0.024811467,26,9,0.010674068,0.000581349
8784,7027,6,5.52E-09,0.253812141,5,10,0.000825081,5.49E-06
8795,1186.625064,22,5.56E-09,0.063665825,19,9,0.00354641,0.000535244
8797,7144.922377,28,5.56E-09,0.04767871,19,9,0.005220802,0.002218057
8804,0,6,5.52E-09,0.169980995,6,8,0.00097214,0
8805,1006.529305,33,5.52E-09,0.035875514,23,9,0.004017815,0.000153928
8835,34.28623868,9,5.52E-09,0.125708222,9,9,0.000731029,5.90E-05
8837,10039.07795,52,5.55E-09,0.023884981,28,9,0.033471623,0.003411731
8841,20715.38544,116,5.54E-09,0.013296057,32,9,0.04437074,0.003661106
8850,17126.76974,103,5.54E-09,0.013218593,31,9,0.016332037,0.000533889
8877,0,10,5.52E-09,0.101571101,8,9,0.007285232,0
8878,27599.66921,80,5.53E-09,0.014966038,28,9,0.020281249,0.000453426
8879,0,1,5.52E-09,1,1,11,6.16E-05,0
8883,4554.089897,79,5.54E-09,0.025516171,71,8,0.217775042,0.024081417
8894,4833.684147,23,5.53E-09,0.050162436,16,9,0.006782052,0.000204585
8900,3475.313897,65,5.53E-09,0.018325635,27,9,0.020004133,0.001285554
8915,1983.62192,41,5.52E-09,0.030377738,23,9,0.009213921,0.00011404
8945,10006.00639,74,5.53E-09,0.016198548,27,9,0.02084867,0.002356793
9097,6494.172195,31,5.52E-09,0.048942815,25,9,0.006422163,0.000920743
9112,10317.57627,58,5.54E-09,0.028358613,28,9,0.01474784,0.000563663
9126,13736.34538,54,5.53E-09,0.027978498,24,9,0.00945554,0.000650214
9131,773.9085656,30,5.52E-09,0.036498481,22,9,0.009631384,0.000345583
9133,0.390668821,9,5.52E-09,0.119256273,9,9,0.004053237,0.000703008
9134,0,9,5.52E-09,0.115994096,9,9,0.003643677,0
9140,1336.594205,55,5.52E-09,0.020673473,23,9,0.037089358,0.000305948
9156,0,6,5.52E-09,0.209000668,6,10,0.002274362,0
9181,0,22,5.52E-09,0.049183015,19,9,0.010049498,0
9184,693.5179221,19,5.52E-09,0.058163503,15,9,0.007560343,4.29E-05
9212,1386.320027,53,5.53E-09,0.023436277,27,9,0.009630799,0.00108899
9219,7815.3934,83,5.53E-09,0.024162468,31,9,0.026642413,0.005070713
9246,3711.061709,32,5.52E-09,0.031614901,15,9,0.004638052,5.75E-05
9252,8242.348247,71,5.52E-09,0.01736444,31,9,0.013335476,0.000124951
9261,2046.036436,50,5.52E-09,0.024737444,29,9,0.016739916,0.000640744
9294,0,3,5.52E-09,0.333333333,3,10,3.57E-05,0
9318,533.4882394,36,5.52E-09,0.043320652,21,9,0.010438706,0.00253216
9378,5264.775446,27,5.52E-09,0.037869653,10,9,0.000447768,2.87E-07
9412,5612.94484,95,5.53E-09,0.024056307,31,9,0.013263561,0.000718776
9415,0,13,5.52E-09,0.199316127,9,10,0.000152415,0
9429,0,4,5.52E-09,0.5,4,10,0.000674557,3.16E-06
9447,0,1,5.52E-09,1,1,9,3.86E-05,0
9459,77.83760792,24,5.52E-09,0.046070325,17,9,0.00799668,0.000751611
9474,1035.710594,71,5.52E-09,0.016596791,24,9,0.02396606,0.000435635
9491,0,28,5.52E-09,0.038014662,18,9,0.008813365,0
9531,158.5524945,17,5.52E-09,0.059386836,14,9,0.007307597,6.12E-05
9533,1927.687937,138,5.52E-09,0.015353969,104,9,0.407661877,0.018985223
